"Name","Race","Race_percentage"
"Deer Forest","Black",48.2784448326786
"Deer Forest","Hispanic",0.699034061785715
"Deer Forest","White",37.0027761998214
"Dixon Road Area","Asian",0.333271179645893
"Dixon Road Area","Black",8.98648963267422
"Dixon Road Area","Hispanic",30.824329907983
"Dixon Road Area","White",56.1762064175354
"Downing Creek","Asian",11.0644287
"Downing Creek","Black",2.98535318916667
"Downing Creek","Hispanic",0.2519596865
"Downing Creek","White",85.1010206516667
"Duke Forest","Asian",7.30748716049523
"Duke Forest","Black",0.965708706061908
"Duke Forest","Hispanic",0.874975504514287
"Duke Forest","White",88.9959890210952
"Duke Homestead","Asian",0
"Duke Homestead","Black",23.3685519
"Duke Homestead","Hispanic",28.40273462
"Duke Homestead","White",46.55065258
"Duke Park","Asian",4.9641375895073
"Duke Park","Black",13.167658537329
"Duke Park","Hispanic",17.499029332671
"Duke Park","White",56.5726061731119
"Duke West Campus","Asian",1.9360840428
"Duke West Campus","Black",23.3661860248
"Duke West Campus","Hispanic",19.3979870606
"Duke West Campus","White",44.019320622
"Eagle's Pointe","Asian",15.1525775801198
"Eagle's Pointe","Black",7.81140045447305
"Eagle's Pointe","Hispanic",1.66311038887425
"Eagle's Pointe","White",69.8733209408982
"Eastway Village","Asian",0.99009901
"Eastway Village","Black",32.42574257
"Eastway Village","Hispanic",23.14356436
"Eastway Village","White",38.86138614
"Eastwood Park","Asian",7.371167645
"Eastwood Park","Black",11.2198304
"Eastwood Park","Hispanic",6.196999348
"Eastwood Park","White",74.36399217
"Edgemont","Asian",2.920723227
"Edgemont","Black",65.92489569
"Edgemont","Hispanic",12.3783032
"Edgemont","White",17.52433936
"Emorywood Estates","Asian",2.423018677
"Emorywood Estates","Black",49.01564866
"Emorywood Estates","Hispanic",30.18677436
"Emorywood Estates","White",17.74356386
"Eno Commons","Asian",0
"Eno Commons","Black",0
"Eno Commons","Hispanic",9.262166405
"Eno Commons","White",62.95133438
"Eno Trace","Asian",0
"Eno Trace","Black",61.07544141
"Eno Trace","Hispanic",3.451043339
"Eno Trace","White",28.81219904
"Everwood","Asian",5.809698079
"Everwood","Black",22.64409881
"Everwood","Hispanic",0
"Everwood","White",70.3568161
"Fairfield","Asian",4.56159259536085
"Fairfield","Black",42.3736166648369
"Fairfield","Hispanic",1.82331325762764
"Fairfield","White",44.5166021994242
"Falconbridge","Asian",10.07462687
"Falconbridge","Black",2.686567164
"Falconbridge","Hispanic",0
"Falconbridge","White",87.23880597
"Fieldstone by the Eno","Asian",3.62597483740678
"Fieldstone by the Eno","Black",5.25773256016949
"Fieldstone by the Eno","Hispanic",3.42792576297627
"Fieldstone by the Eno","White",81.873579671017
"Five Oaks","Asian",0
"Five Oaks","Black",25.96491228
"Five Oaks","Hispanic",26.9005848
"Five Oaks","White",44.09356725
"Folkestone","Asian",15.38461538
"Folkestone","Black",23.45523329
"Folkestone","Hispanic",0
"Folkestone","White",58.0075662
"Forest Acres","Asian",0
"Forest Acres","Black",9.520594193
"Forest Acres","Hispanic",6.144496962
"Forest Acres","White",84.06482107
"Forest Hills","Asian",2.73438673879286
"Forest Hills","Black",11.250983545881
"Forest Hills","Hispanic",4.62357072401667
"Forest Hills","White",73.8361700953333
"Forest Oaks","Asian",12.4201278
"Forest Oaks","Black",41.33386581
"Forest Oaks","Hispanic",7.068690096
"Forest Oaks","White",34.94408946
"Fortune's Ridge","Asian",3.65060107539823
"Fortune's Ridge","Black",6.34976830384071
"Fortune's Ridge","Hispanic",4.05345506006195
"Fortune's Ridge","White",81.5519038738938
"Fox Run","Asian",0.11267968369863
"Fox Run","Black",2.24280463053425
"Fox Run","Hispanic",0
"Fox Run","White",92.0066369312329
"Franklin Village","Asian",0
"Franklin Village","Black",33.44651952
"Franklin Village","Hispanic",52.97113752
"Franklin Village","White",13.58234295
"Garret Farms - Porchlight / Hartley","Asian",14.19753086
"Garret Farms - Porchlight / Hartley","Black",20.37037037
"Garret Farms - Porchlight / Hartley","Hispanic",0.396825397
"Garret Farms - Porchlight / Hartley","White",53.92416226
"Gatewood Forest","Asian",0
"Gatewood Forest","Black",58.26446281
"Gatewood Forest","Hispanic",22.83057851
"Gatewood Forest","White",15.08264463
"Glennstone","Asian",0
"Glennstone","Black",26.38504155
"Glennstone","Hispanic",51.10803324
