"NAME","RELATED_NAME"
"Bent Creek / Woodberry Forest","R709K - BENT CREEK"
"Sterling Ridge","R709K - BENT CREEK"
"Bent Creek / Woodberry Forest","R709O - RESIDENTIAL"
"Everwood","R709O - RESIDENTIAL"
"Five Oaks","R709F - NORTH I40 RURAL"
"Five Oaks","R709N - FIVE OAKS"
"Colony Woods","R799A - COLONY WOODS"
"Eastwood Park","R708D - I40/HWY54/I40 RURAL"
"Eastwood Park","R708E - RESIDENTIAL"
"Downing Creek","R798B - RESIDENTIAL"
"Falconbridge","R708C - RESIDENTIAL"
"Downing Creek","R707A - I40/751/FATVL/COUNTY LINE"
"Downing Creek","R708A - RESIDENTIAL"
"Southpoint Manor","R707A - I40/751/FATVL/COUNTY LINE"
"Southpoint Manor","R708F - RESIDENTIAL"
"Colvard Farms","R717B - COLVARD FARMS"
"Eagle's Pointe","R718B - EAGEL POINT"
"Buck Crossing","R718B - EAGEL POINT"
"Woodcroft","R718D - WOODCROFT"
"Woodcroft","R709F - NORTH I40 RURAL"
"Woodcroft","R718C - ROLLINGWOOD"
"Cross Timbers","R719I - CROSS TIMBERS"
"Woodcroft","R729D - HOPE VALLEY - NEW"
"Hope Valley Farms North","R719K - GREYFIELD"
"Windsor Oaks","R729C - CHAMBERLYNNE"
"Hope Valley Farms","R729D - HOPE VALLEY - NEW"
"Windsor Oaks","R729D - HOPE VALLEY - NEW"
"Hope Valley Farms","R719G - STONE BRIDGE"
"Hope Valley Farms","R719L - REGENCY BLUFFS"
"Hope Valley Farms","R719J - GAITHERS POINTE"
"Hope Valley Farms North","R729B - RESIDENTIAL"
"Hope Valley Farms North","R729D - HOPE VALLEY - NEW"
"Hope Valley Farms North","R729U - HOPE VALLEY FARMS EAST"
"Stratford Lakes","R729J - FAYETTEVILLE AND COOK RD"
"Hope Valley Farms North","R729G - BAY POINTE"
"Belcrest","R729I - EBONT/FAYETTEVILLE RD."
"Fortune's Ridge","R729D - HOPE VALLEY - NEW"
"Orchid Court","R719K - GREYFIELD"
"Swallows Ridge","R729D - HOPE VALLEY - NEW"
"Woodlake","R729I - EBONT/FAYETTEVILLE RD."
"Woodlake","R729A - WOOD LAKE"
"Woodlake","R729R - WOODCREST HEMMINGWOOD"
"Penrith","R729I - EBONT/FAYETTEVILLE RD."
"Penrith","R729P - CHADSFORD"
"Woodlake","R729Q - BARBEE MDWS"
"Auburn Hills","R718F - ERWINWOOD"
"Crooked Creek","R718F - ERWINWOOD"
"Folkestone","R718I - RESIDENTIAL"
"Crooked Creek","R718E - RESIDENTIAL"
"Wyndcross","R728D - WELLINGTON FOREST"
"Lakehurst","R727A - RESIDENTIAL"
"Wellington Forest","R728D - WELLINGTON FOREST"
"Wyndcross","R728C - SEDGEWOOD"
"Lakehurst","R727E - OAKHAURST/LAKEHURST"
"Chelsea Meadows","R707F - MSY CHAPEL/751"
"Chelsea Meadows","R707A - I40/751/FATVL/COUNTY LINE"
"Oakhaven","R727A - RESIDENTIAL"
"Huntington Ridge","R717F - HUNINGTON RIDGE"
"Huntington Ridge","R727A - RESIDENTIAL"
"Chancellor's Ridge","R727A - RESIDENTIAL"
"Chancellor's Ridge","R717G - CHANCELLOR'S RIDGE TOWNHO"
"The Hills at Southpoint","R727A - RESIDENTIAL"
"Lake Park","R727I - LAKE PARK"
"Southampton","R727A - RESIDENTIAL"
"Lake Park","R727A - RESIDENTIAL"
"Fairfield","R727B - FAIRFIELD/KINGSLEY ESTATE"
"Parkwood","R727G - RESIDENTIAL"
"Audubon Park","R727F - ADUBON PARK"
"Lake Park","R727G - RESIDENTIAL"
"Newhall Village","R727G - RESIDENTIAL"
"Oakhurst","R727E - OAKHAURST/LAKEHURST"
"Fairfield","R727E - OAKHAURST/LAKEHURST"
"Parkwood","R727D - LYONS FARM/THE OAKS/GRAND"
"Parkwood","R728B - RESIDENTIAL"
"Lakehurst","R727C - SETTLERS MILL"
"Settler's Point","R727C - SETTLERS MILL"
"Wyndcross","R728B - RESIDENTIAL"
"Wellington Forest","R728B - RESIDENTIAL"
"Parkwood","R727H - VERNA PLACE"
"Audubon Park","R727H - VERNA PLACE"
"Auburn Hills","R738A - AUBURN"
"Penrith","R729M - PENRITH WEST AND OTHERS"
"Copper Creek","R738B - COPPER CREEK"
"Penrith","R729L - PROVIDENCE RIDGE"
"Providence Ridge","R729L - PROVIDENCE RIDGE"
"Providence Ridge","R729I - EBONT/FAYETTEVILLE RD."
"Lochside","R729I - EBONT/FAYETTEVILLE RD."
"Lochside","R739D - VLGS AT CORNWALLIS"
"Abercromby","R739D - VLGS AT CORNWALLIS"
"Abercromby","R840A - MIAMI AND 70 RESIDENTIAL"
"Rustica Oaks","R830D - RUSTIC OAKS"
"Stirrup Creek","R759F - STIRRUP CREEK"
"Meadows of Pagehurst","R759E - PAGEHURST"
"Pagehurst","R759E - PAGEHURST"
"Pleasant Drive","C840E - PLEASENT DR @MIAMI !"
"Amberlynn Valley","R840G - RESIDENTIAL"
"Pleasant Drive","R840A - MIAMI AND 70 RESIDENTIAL"
"Merrick Moore","R842A - CHEEK AND CATALPA"
"Northeast Hills","R842A - CHEEK AND CATALPA"
"Bragtown","R833B - CROWN POINTE"
"Crown Point","R833B - CROWN POINTE"
"Bragtown","R843A - HAMLIN AND OLD OXFORD"
"Milan Woods","R842B - MILAN WOODS"
"Merrick Moore","R841I - HOOVER AND SOUTHERLAND"
"Gatewood Forest","R851F - N FREEMAN W FLETCHERS"
"Stonehill Estates","R851D - STONEHILL"
"Stonehill Estates","R841H - CLAYTON CROSSING"
"Stonehill Estates","R851C - GREYSTONE GREEN"
"Grove Park","R851B - GREENWOOD"
"Gatewood Forest","R851E - GATEWOOD"
"Stonehill Estates","R860A - WAKE FOREST/HWY & SHARRON"
"Grove Park","R860A - WAKE FOREST/HWY & SHARRON"
"Grove Park","R851A - GROVE PARK GOLT"
"Pleasant Drive","R860A - WAKE FOREST/HWY & SHARRON"
"Stirrup Creek","R840A - MIAMI AND 70 RESIDENTIAL"
"Ashley Forest","R840A - MIAMI AND 70 RESIDENTIAL"
"Ashley Forest","R759D - ASHLEY FIRST"
"Ashley Forest","R759C - MAGNOLIA PLACE"
"Ashton Hall","R840A - MIAMI AND 70 RESIDENTIAL"
"Ashton Hall","R860A - WAKE FOREST/HWY & SHARRON"
"Orchard Ridge","R860A - WAKE FOREST/HWY & SHARRON"
"Oak Grove Community","R860A - WAKE FOREST/HWY & SHARRON"
"Grove Park","R850J - GROVE PARK"
"Ravenstone","R860A - WAKE FOREST/HWY & SHARRON"
"Grove Park","R861A - 98/N. CO. LINE/85/SHARRON"
"Marbry Landing","R861A - 98/N. CO. LINE/85/SHARRON"
"Marbry Landing","R851B - GREENWOOD"
"Ridgefield","R851F - N FREEMAN W FLETCHERS"
"Ridgefield","R861A - 98/N. CO. LINE/85/SHARRON"
"Ridgefield","R852A - RIDGEWOOD/RIDGEFIELD"
"Landon Farms","R842D - LANDON FARMS"
"Glennstone","R843B - GLEN STONE"
"Stillwood","R851F - N FREEMAN W FLETCHERS"
"Cardinal Lake","R851F - N FREEMAN W FLETCHERS"
"Bragtown","R833A - STRATTON PARK"
"Bragtown","R833G - THE VILLAGES"
"Old Farm","R833H - DENFIELD AND MONK"
"Horton Hills","R824J - ARGONNE HILLS"
"Horton Hills","R824G - CANDLEWICK"
"Horton Hills","R824H - HORTON HILLS"
"Croasdaile Farm","R813C - CROASDAILE"
"Omah Street","R823A - PEPPERTREE"
"Omah Street","R823H - GUESS RD. NORTH OF 85"
"Omah Street","R813A - WATERFORD"
"Croasdaile Farm","R813G - CROASDAILE FARM SEC. 1"
"Cole Mill Road","R813B - COLEMILL N OF 85"
"Cole Mill Road","R813E - QUAIL RIDGE"
"Croasdaile Farm","R813B - COLEMILL N OF 85"
"Cole Mill Road","R803G - HUCKLEBERRY HEIGHTS"
"Huckleberry Heights","R813B - COLEMILL N OF 85"
"Cole Mill Road","R813D - GREENWICH"
"Waterford","R803G - HUCKLEBERRY HEIGHTS"
"Waterford","R813A - WATERFORD"
"Coles Pond","R813A - WATERFORD"
"Cole Mill Road","R813A - WATERFORD"
"Walden Pond","R812E - DURHAM FRWY&I-85"
"Forest Oaks","R812E - DURHAM FRWY&I-85"
"American Village","R802B - AMERICAN VILLAGE"
"Bennet Place","R803A - HILLSBOROUGH & GATEHILL"
"West Hills","R803A - HILLSBOROUGH & GATEHILL"
"Spring Valley","R803C - SPRING VALLEY"
"Myers Park/Beechgrove","R803C - SPRING VALLEY"
"Cole Mill Road","R803E - ARCHERWOODS"
"Archer Woods","R803E - ARCHERWOODS"
"Forest Acres","R803G - HUCKLEBERRY HEIGHTS"
"Huckleberry Heights","R803G - HUCKLEBERRY HEIGHTS"
"Nancy Rhodes Creek","R803G - HUCKLEBERRY HEIGHTS"
"Nancy Rhodes Creek","R814D - UMSTEAD & STERLING"
"Myers Park/Beechgrove","R803B - ROCKY RIDGE"
"Archer Woods","R803B - ROCKY RIDGE"
"Cole Mill Road","R814D - UMSTEAD & STERLING"
"Myers Park/Beechgrove","R814D - UMSTEAD & STERLING"
"Fieldstone by the Eno","R814D - UMSTEAD & STERLING"
"Croasdaile Farm","R814D - UMSTEAD & STERLING"
"River's Edge","R814D - UMSTEAD & STERLING"
"Fieldstone by the Eno","R814E - FIELDSTONE"
"River's Edge","R814E - FIELDSTONE"
"Fieldstone by the Eno","R814H - CABESMILL"
"Summer Meadow","R833E - SUMMER MEADOW"
"Bragtown","R834B - STANLEY ROAD"
"Bragtown","R834D - HILLVIEW TERRACE"
"Bragtown","R864A - 85 NORTH, COUNTY LINE"
"Whitney Park","R718G - WHITNEY PARK @ SPRING HIL"
"Audubon Park","R727G - RESIDENTIAL"
"Old Farm","R824A - OLD FARM"
"Westwood Estates","R803F - WESTWOOD ESTATES"
"Abron Drive","R707F - MSY CHAPEL/751"
"Fairfield","R727J - NBHD ADJUSTMENT"
"Fairfield","R727A - RESIDENTIAL"
"Eno Trace","R825I - NORTHERN HS CITY"
"Stephen's Woods","R824C - STEPHENS WOODS"
"Stephen's Woods","R825I - NORTHERN HS CITY"
"Vantage Pointe","R825I - NORTHERN HS CITY"
"Eno Trace","R834E - ERO TRACE"
"Bluffs of the Eno","R834E - ERO TRACE"
"Vantage Pointe","R834F - VANTAGE POINTE"
"River Forest","R824B - RIVER OAKS"
"Lochaven Hills","R824E - LATTA ROAD"
"Willowhaven","R814G - PLACID VALLEY"
"Willowhaven","R804A - COUNTRY CLUB"
"Placid Valley","R814D - UMSTEAD & STERLING"
"Placid Valley","R814G - PLACID VALLEY"
"Willowhaven","R814D - UMSTEAD & STERLING"
"Country Club Heights","R804A - COUNTRY CLUB"
"Country Club Heights","R804C - WILLOW RIDGE"
"Inverness Drive","R804C - WILLOW RIDGE"
"Inverness Drive","R804B - WILLOW HAVEN"
"Heather Glen","R804B - WILLOW HAVEN"
"North Durham Community","R814F - HAVENHILL"
"North Durham Community","R815B - GREY MOSS"
"Eno Commons","R814D - UMSTEAD & STERLING"
"Eno Commons","T814A - ENOCOMMONS"
"Lattamoor","R824E - LATTA ROAD"
"Lattamoor","R824F - WELLINGTON"
"Pine Valley","R824E - LATTA ROAD"
"Latta Woods","R824E - LATTA ROAD"
"Latta Woods","R824D - LATTA WOODS"
"Treyburn","R864A - 85 NORTH, COUNTY LINE"
"Vantage Pointe","R825H - NORTHERN HS RESIDENTIAL"
"Pine Valley","R825B - ASHFIELD PLACE"
"Autumn Ridge","R815A - AUTUMN RIDGE"
"Autumn Ridge","R816C - LEBANON"
"Grande Park","R815A - AUTUMN RIDGE"
"Heather Glen","R805A - HEATHER RIDGE"
"Heather Glen","R816C - LEBANON"
"Willowhaven","R805A - HEATHER RIDGE"
"Willowhaven","R804B - WILLOW HAVEN"
"Heather Glen","R815D - CREEKSIDE"
"Heather Glen","R815F - LEBANON ACRES"
"Willowhaven","R815G - FITZFORD ESTATE"
"Heather Glen","R815G - FITZFORD ESTATE"
"Willow Hill","R816C - LEBANON"
"Willow Hill","R816F - WILLIOW HILL"
"Barclay to Sandlewood","R825H - NORTHERN HS RESIDENTIAL"
"Treyburn","R835B - SNOWHILL RD."
"Treyburn","R846C - CHAMPIONS POINTE"
"Barclay to Sandlewood","R835B - SNOWHILL RD."
"Deer Forest","R816C - LEBANON"
"Treyburn","R836B - BAHAMA SOUTH"
"Fox Run","R817E - FOX DEN"
"Fox Run","R817B - NORTH FORK"
"Rougemont","R920B - ROUGEMONT"
"Rougemont","C829A - N ROXBORO RD/RED MTN"
"Rougemont","R829B - SUMMERWIND FARM"
"Rougemont","R920A - RED MOUNTAIN"
"Bahama","R837D - BAHAMA CENTRAL"
"Treyburn","R827A - BAHAMA RUAL"
"Treyburn","R846B - TREYBURN LOBLOLLY"
"Treyburn","R846A - TREYBURN"
"Carolina Arbors","R769A - 70 RES WAKE LINE"
"Hope Valley Downs","R810I - GLIDEWAY"
"Chelsea Meadows","R717F - HUNINGTON RIDGE"
"Forest Oaks","R802C - TURNAGE HEIGHTS"
"River's Edge","R814I - MARYWOOD"
"Eagle's Pointe","R718A - THE RESERVE"
"Stirrup Creek","R759B - ALEXANDER CROSSING"
"Cardinal Lake","R852B - AUTUM LEAF"
"Amberlynn Valley","T840A - AMBER LYNN"
"Ravenstone","R860B - RAVENSTON"
"Oakhaven","R717I - OAKHAVEN"
"Bradbury Glen","R749B - BRADBUBY GLEN"
"Bradbury Trace","R749C - BRADBUBY TRACE"
"Cleveland-Holloway","C831E - ELIZABETH C&I"
"Swann's Mill","R834C - SWANNS MILL"
"Lochside","R739E - LOCHSIDE"
"American Village","R802A - AMERICAN VILLAGE"
"Penrith","R729K - CHADS FORD"
"Treyburn","T846B - TREYBURN I8 TWNHMS"
"Stillwood","R852F - STILLWOOD"
"Brightwood Trails","R850I - BRIGHTWOOD TRIALS"
"Wynstead","R729E - ALBEN ST."
"American Village","R800B - COUNTY LINE N. DUR/CH&11B"
"Brightleaf at the Park","R850F - BRIGHT LEAF AT PARK P2"
"Brightleaf at the Park","R850A - BRIGHT LEAF AT THE PARK"
"Brightleaf at the Park","R850E - BRIGHT LEAF AT PARK P1"
